상품코드,대상도시,상품형태,상품명,리뷰ID,작성자,평점,내용,작성일,동행,공감수,옵션정보,연령대,리뷰요약1,리뷰요약2,리뷰요약3,리뷰요약4,리뷰요약5
MAV1044,다낭,패키지,[대구출발] 다낭 5일 #베이캐피탈 #신규오픈5성 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #다낭타워 씨푸드 ,247058,kto****,5,"시어머니와 초등2 중등1  남편과 함께한 여행으로 베트남이 아이들과 시어머니에게 즐거운 여행이 될지가 걱정이었다.
또한 어떤 가이드를 만나는지로 즐거운 여행이 판가름 난다고하여 이상한 가이드가 아니기만을 바랬다.
그런데 우리의 일정을 함께 해주신 이승문 가이드님과 현지 가이드님 때문에 불편함이 일도 없는 행복하고 꿈같은 여행을 즐길수있었다. 첫날부터 남편의 눈 건강이상으로 병원진료가 필요할듯하여 예정된 일정보다  빨라 연락드렸더니 연락후 몇분지나지 않아 이승문가이드님과 현지 가이드님이 오셔서  빠른 치료를 받을수 있었던 부분부터 감동의 연속인 여행이었다.
여행의 마지막날까지 공항에서 오래 기다리면 힘들 우리를 위해 예정에 없던 일정까지 추가(불꽃축제 구경)하여 완벽하게 여행을 마무리 지을수 있도록 세심한 면모를 볼수있었다.
날씨때문에 너무 더워서 지친 부분만 빼면 여행 일정, 음식 등 볼거리 먹을거리가 완벽한 여행이었다.
이승문 가이드님 너무 감사드려요~다음 여햄때도 꼭 하나투어를 이용할 생각이다.",2024.06.10,가족여행,0,"호이안 바구니배 체험,호이안 씨클로,다낭 나이트 시티투어",40,객실이 깨끗해요, 일정이 알차요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 전문적이에요
MAV1044,다낭,패키지,[청주출발] 다낭 5일 #멜리아 비치 리조트 #신관 디럭스룸 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,246953,1mo*********,5,"호텔이 뷰가좋고 가족끼리가서 쉬기좋은곳
다시 호캉스하고 싶은곳~",2024.06.10,가족여행,0,,60,객실이 깨끗해요, 호텔이 관광지와 가까워요, 호텔에서 쉬기 좋아요, 현지 음식이 맛있어요, 가이드가 전문적이에요
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,246689,huy****,5,"처음 다녀온 패키지 여행!

자유 여행만 주로 다녀서 패키지 여행은 크게 기대를 하지 않고 출발 했습니다.
 
열정이 넘치는 가이드 분을 만나서 여행 기간 동안 지루할 틈 없이 흘러 갔습니다. 단순하게 여행만 하는것이 아니라
이 곳의 역사와 현재를 알 수 있었던 소중한 시간이었습니다.

이만석 가이드님, 현지 전지현 가이드님 감사합니다!",2024.06.07,가족여행,0,"호이안 대나무배(틴퉁) 체험,차밍 다낭쇼",30,가이드가 전문적이에요, 가이드가 열정적이에요, 가이드가 배려 깊고 세심해요, 가이드가 재밌어요, 일정이 알차요
MAV1044,다낭,패키지,[출발확정] 다낭 5일 #보코 #신규오픈5성 #바나힐 테마파크 #호이안 #스톤마사지 #다낭타워 씨푸드,246647,aia****,5,"너무 바쁜 일정은 힘들었을거 같은데 타이트하지않고 적당한 여유가 있어서 좋았습니다.
무엇보다도 부모님이 좋아하셔서 다행이었어요.
다낭 여행이 처음이라면 먼저 패키지로 가보시는 것도 추천입니다.",2024.06.06,가족여행,0,,30,객실이 깨끗해요, 호텔 부대시설이 좋아요, 호텔이 시내에 있어요, 일정이 알차요, 일정이 여유로워요
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,246490,yoi**,1,"수영장이 최고인 호텔을 패키지로 만드셨음
수영할시간정도는 주시는게좋을것같아요
호텔조식은 맛이없다고 익히들어 첫날만 먹고안먹었어요 ㅜㅜ
패키지에 포함된 식당들이 전체적으로 그냥그래요
가이드님의 소소한 일정변경은 미리 알려주시는게 좋을것같아요",2024.06.04,아동동반 여행,1,다낭 나이트 시티투어,40,호텔에서 쉬기 좋아요, 호텔 부대시설이 좋아요,,,
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,246489,che********,5,"다낭 처음 가보았는데요
날씨는 조금 더웠지만 그래도 너무나 알차고 재밌었습니다. 무엇보다 도로나 공용화장실 등등 한국 보다 더 깔끔해서 놀랐습니다.
베트남 여행 다시 한번 간다면 다낭 한번더 와도 후회없을듯 합니다ㅎㅎ",2024.06.04,가족여행,0,"호이안 바구니배 체험,호이안 씨클로,차밍 다낭쇼,다낭 나이트 시티투어",30,일정이 알차요, 즐길 거리가 다양해요, 호텔 부대시설이 좋아요, 호텔이 관광지와 가까워요,
MAV1044,다낭,패키지,[타임세일] 다낭 5일 #멜리아 비치 리조트 #신관 디럭스룸 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,246434,mok******,5,"코로나 이후 오랜만에 가족여행이었는데요
그사이 훌쩍 커버린 아이들 셋을 데리고 기대가득 다낭에 갔어요 우선 권이안 가이드님 너무 친절하시고 베트남이야기 열심히 많이 들려주셔서 아이들도 베트남을 이해하기에 많은 도움이 됐다고 합니다
저희도 정말 즐거웠습니다
현지가이드 꾸이도 너무 친절했어요
고마워요 꾸이~
사진도 예쁘게 많이 남겨주시고~
우선 다낭은 생각보다 너무 더웠어요
그래서 조금 힘들었지만 구성이 알차서
참 알찬 여행이었던것같아요
힘든 일정속에서도 물놀이 좋아하는 저희 가족은
매일매일 리조트수영을 즐겼어요
더운날 밤수영은 피로를 풀어주더라구요
멜리아리조트 시설도 너무좋고 조식도 너무 맛있었어요
자유여행으로  며칠 더있고 싶은 마음 가득안고
왔답니다
곧 또다시 여행을 계획해봐야겠어요
다낭 여행 강추입니다~",2024.06.03,가족여행,0,,40,객실이 깨끗해요, 호텔 부대시설이 좋아요, 일정이 알차요, 현지 음식이 맛있어요, 가이드가 전문적이에요
MAV1044,다낭,패키지,[청주출발] 다낭 5일 #힐튼 #월드체인5성 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #다낭타워 씨푸드 ,246417,882angel,5,남편하고는 첫해외여행이었는데 즐거운 추억많이만들었어요~~ ,2024.06.03,커플여행,0,"호이안 바구니배 체험,호이안 씨클로",40,호텔이 관광지와 가까워요, 일정이 여유로워요, 즐길 거리가 다양해요, 현지 음식이 맛있어요, 현지 음식이 다양해요
MAV1044,다낭,패키지,다낭 5일 #베이캐피탈 #신규오픈5성 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #다낭타워 씨푸드 ,246335,kms****,5,이승문 가이드분께서 사소한 거까지도 잘 신경써주시고 섬세하게 설명을 잘해주셔서 좋았습니다,2024.06.02,친구모임,0,,50,객실이 깨끗해요, 일정이 여유로워요, 식당 뷰가 좋아요, 가격만큼 가치 있어요, 가이드가 배려 깊고 세심해요
MAV1044,다낭,패키지, 다낭 5일 #힐튼 #월드체인5성 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #다낭타워 씨푸드 ,246127,ara*******,4,"딸의 친구와 엄마들이 수능을 마치고 여행을 했어요.
너무 즐거운 여행을 해서 딸 아이들.. 하나투어로 다시 패키지 예약을 해 뒀네요.",2024.05.31,친구모임,0,,40,객실이 깨끗해요, 호텔이 관광지와 가까워요, 일정이 알차요, 현지 음식이 맛있어요, 가격만큼 가치 있어요
MAV1044,다낭,패키지,[타임세일] 다낭 5일 #멜리아 비치 리조트 #신관 디럭스룸 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,246067,hak*******,4,"일단  김인태 가이드님 덕분에 즐거운 여행이였습니다.
리조트 조식부페도 좋았고 수영장도 좋았습니다.
아쉬운점을 꼽자면  먹는건데요...
현지식사는 좋았지만
한국식 식사는 맛을 떠나서 양도 그렇고 많이  부족하고
허접했어요.. 
쇼핑센타 방문은 어느정도 예상은 했지만 설명 시간이 너무 길어서 힘들었네요..

",2024.05.30,가족여행,0,,40,호텔에서 쉬기 좋아요, 현지 음식이 맛있어요, 가이드가 전문적이에요,,
MAV1044,다낭,패키지,다낭 5일 #크라운 플라자 #프리미어 시티뷰 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,246058,rdx***,5,재방문의사 1000퍼센트입니다.,2024.05.30,가족여행,0,"호이안 대나무배(틴퉁) 체험,차밍 다낭쇼",40,객실이 깨끗해요, 일정이 알차요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 열정적이에요
MAV1044,다낭,패키지,다낭 5일 #보코 #신규오픈5성 #바나힐 테마파크 #호이안 #스톤마사지 #다낭타워 씨푸드,246015,hs6**,5,"여러가지로 만족한 여행이었습니다.
역쉬~! 여행은 하나투어가 최고인듯요.ㅎㅎ",2024.05.30,친구모임,0,,50,객실 뷰가 좋아요, 일정이 알차요, 식당이 청결해요, 가격이 합리적이에요, 가이드가 전문적이에요
MAV1044,다낭,패키지,[청주출발] 다낭 5일 #보코 #신규오픈5성 #바나힐 테마파크 #호이안 #스톤마사지 #다낭타워 씨푸드,245911,신마리,4,"뭐랄까~~~^^
선택관광을 해야한다고 처음부터 명시하면 좋을꺼 갖아요.  갑자기 당황하지 않게요. 기본 300불정도 예상 해야할꺼 같아요.~~^^",2024.05.28,가족여행,0,,50,객실 뷰가 좋아요, 즐길 거리가 다양해요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 열정적이에요
MAV1044,다낭,패키지,다낭 5일 #멜리아 비치 리조트 #신관 디럭스룸 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,245745,rla********,5,친구들과 함께라 즐거웠어요.,2024.05.27,친구모임,0,,50,객실이 깨끗해요, 일정이 여유로워요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 전문적이에요
MAV1044,다낭,패키지,다낭 5일 #보코 #신규오픈5성 #바나힐 테마파크 #호이안 #스톤마사지 #다낭타워 씨푸드,245650,y2k**,5,"구강현 가이드님의 전문성 친절함 상황 대처 능력 등 대단하심에 여행 전 일정 모두 대만족입니다
같이 동행해주신 여성 현지 가이드분 역시 최고 !
잊지않겠습니다  두분 모두.
감사합니다 ",2024.05.26,가족여행,0,,60,객실 뷰가 좋아요, 일정이 알차요, 가이드가 열정적이에요, 현지 음식이 맛있어요, 가격만큼 가치 있어요
MAV1044,다낭,패키지,다낭 5일 #멜리아 비치 리조트 #신관 디럭스룸 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,245593,sea********,5,"선택관광시 고객의사 존중해주고~
쇼핑도 취향에 맞았어요^^",2024.05.25,친구모임,0,,50,객실이 깨끗해요, 일정이 여유로워요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 배려 깊고 세심해요
MAV1044,다낭,패키지,다낭 4일 #베이캐피탈 #신규오픈5성 #바나힐 테마파크 #호이안 야경투어 #스톤마사지 #다낭타워 씨푸드 ,245135,0816pjy,5,세번째인데도 정말 좋앗,2024.05.20,친구모임,0,,60,호텔 부대시설이 좋아요, 일정이 여유로워요, 현지 음식이 맛있어요, 가격만큼 가치 있어요, 가이드가 전문적이에요
MAV1044,다낭,패키지,다낭 5일 #멜리아 비치 리조트 #신관 디럭스룸 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,245095,for********,5,"정말 즐거운 다낭 여행 이였습니다.
훌륭한 가이드 오종옥님 덕분에 쾌적하고 시간낭비 없이 알차게 여행 했고요 쇼핑 눈치 없고 뭐 하나 사면
다 챙겨줄려고 노력해주십니다. 전 일정 음식 푸짐해서
부족함이 없어요 추천합니다~~ ",2024.05.19,가족여행,0,"호이안 바구니배 체험,차밍 다낭쇼,다낭 나이트 시티투어",40,호텔 부대시설이 좋아요, 호텔에서 쉬기 좋아요, 일정이 알차요, 가격만큼 가치 있어요, 가이드가 배려 깊고 세심해요
MAV1044,다낭,패키지,[타임세일] 다낭 5일 #멜리아 비치 리조트 #신관 디럭스룸 #바나힐 테마파크 #호이안 야경투어 #루프탑바 #스톤마사지,245075,민쯔,5,"즐거운 여행 하고 왔습니다.
김재권 가이드님  만나서  더  즐겁고 알찬 여행이었습니다.  같이 여행했던  우리  망고 가족분들  여행기간  동안 서로  배려하고 함께 해서 마음  편하고 더  행복한 시간이었습니다.
짧은  일정이었지만  기이드님 덕분에  베트남에 대해  하나라도  알게되고  베트남이라는 나라에 대해  한발짝 더   다가가게 된것  같습니다. 
다음에  또   다낭을  가게 된다면 김재권 가이드님을 만나서  안내를  받고  싶네요^^ ",2024.05.19,가족여행,0,,40,객실이 깨끗해요, 일정이 알차요, 현지 음식이 맛있어요, 가격이 합리적이에요, 가이드가 전문적이에요
