연도,월,지역,국가,관광객수
2006,8,미주,캐나다,24164
2006,8,미주,브라질,1816
2006,8,미주,도미니카공화국,70
2006,8,미주,자메이카,12
2006,8,미주,코스타리카,249
2006,9,미주,미국,66193
2006,9,미주,캐나다,20530
2006,9,미주,브라질,2174
2006,9,미주,도미니카공화국,91
2006,9,미주,자메이카,4
2006,9,미주,코스타리카,232
2006,10,미주,미국,54800
2006,10,미주,캐나다,15044
2006,10,미주,브라질,1444
2006,10,미주,도미니카공화국,80
2006,10,미주,자메이카,11
2006,10,미주,코스타리카,184
2006,11,미주,미국,49891
2006,11,미주,캐나다,10368
2006,11,미주,브라질,2189
2006,11,미주,도미니카공화국,161
2006,11,미주,자메이카,15
2006,11,미주,코스타리카,223
2006,12,미주,미국,62815
2006,12,미주,캐나다,14912
2006,12,미주,브라질,2646
2006,12,미주,도미니카공화국,121
2006,12,미주,자메이카,9
2006,12,미주,코스타리카,272
2007,1,미주,미국,83332
2007,1,미주,캐나다,14508
2007,1,미주,브라질,6072
2007,1,미주,도미니카공화국,203
2007,1,미주,자메이카,3
2007,1,미주,코스타리카,275
2007,1,미주,페루,7351
2007,2,미주,미국,53505
2007,2,미주,캐나다,10795
2007,2,미주,브라질,3195
2007,2,미주,도미니카공화국,140
2007,2,미주,자메이카,9
2007,2,미주,코스타리카,236
2007,3,미주,미국,53183
2007,3,미주,캐나다,12178
2007,3,미주,브라질,3047
2007,3,미주,도미니카공화국,150
2007,3,미주,자메이카,9
2007,3,미주,코스타리카,200
2007,4,미주,미국,54110
2007,4,미주,캐나다,12555
2007,4,미주,브라질,3530
2007,4,미주,도미니카공화국,130
2007,4,미주,자메이카,13
2007,4,미주,코스타리카,292
2007,5,미주,미국,67349
2007,5,미주,캐나다,17849
2007,5,미주,브라질,3555
2007,5,미주,도미니카공화국,220
2007,5,미주,자메이카,33
2007,5,미주,코스타리카,254
2007,6,미주,미국,75208
2007,6,미주,캐나다,22394
2007,6,미주,브라질,2672
2007,6,미주,도미니카공화국,170
2007,6,미주,자메이카,22
2007,6,미주,코스타리카,242
2007,7,미주,미국,87645
2007,7,미주,캐나다,32727
2007,7,미주,브라질,4070
2007,7,미주,도미니카공화국,380
2007,7,미주,자메이카,34
2007,7,미주,코스타리카,272
2007,8,미주,미국,93817
2007,8,미주,캐나다,27250
2007,8,미주,브라질,2437
2007,8,미주,도미니카공화국,141
2007,8,미주,자메이카,17
2007,8,미주,코스타리카,217
2007,9,미주,미국,67771
2007,9,미주,캐나다,21266
2007,9,미주,브라질,3423
2007,9,미주,도미니카공화국,131
2007,9,미주,자메이카,36
2007,9,미주,코스타리카,217
2007,10,미주,미국,56223
2007,10,미주,캐나다,15547
2007,10,미주,브라질,2340
2007,10,미주,도미니카공화국,209
2007,10,미주,자메이카,21
2007,10,미주,코스타리카,252
2007,11,미주,미국,50932
2007,11,미주,캐나다,10214
2007,11,미주,브라질,2416
2007,11,미주,도미니카공화국,228
2007,11,미주,자메이카,28
2007,11,미주,코스타리카,239
2007,12,미주,미국,63100
2007,12,미주,캐나다,15318
2007,12,미주,브라질,2992
2007,12,미주,도미니카공화국,216
2007,12,미주,자메이카,13
2007,12,미주,코스타리카,270
2008,1,미주,미국,84958
2008,1,미주,캐나다,13909
2008,1,미주,브라질,4899
2008,1,미주,도미니카공화국,156
2008,1,미주,자메이카,15
2008,1,미주,칠레,1401
2008,1,미주,코스타리카,273
2008,1,미주,페루,8207
2008,2,미주,미국,58515
2008,2,미주,캐나다,11434
2008,2,미주,브라질,3350
2008,2,미주,도미니카공화국,163
2008,2,미주,자메이카,33
2008,2,미주,칠레,876
2008,2,미주,코스타리카,219
2008,3,미주,미국,56082
2008,3,미주,캐나다,11574
2008,3,미주,브라질,3527
2008,3,미주,도미니카공화국,246
2008,3,미주,자메이카,39
2008,3,미주,칠레,888
2008,3,미주,코스타리카,321
2008,4,미주,미국,51959
2008,4,미주,캐나다,12590
2008,4,미주,브라질,3439
2008,4,미주,도미니카공화국,141
2008,4,미주,자메이카,13
2008,4,미주,칠레,748
2008,4,미주,코스타리카,227
2008,5,미주,미국,67847
2008,5,미주,캐나다,19076
2008,5,미주,브라질,2762
2008,5,미주,도미니카공화국,216
2008,5,미주,자메이카,26
2008,5,미주,칠레,516
2008,5,미주,코스타리카,224
2008,6,미주,미국,72649
2008,6,미주,캐나다,22282
2008,6,미주,브라질,3975
2008,6,미주,도미니카공화국,248
2008,6,미주,자메이카,9
2008,6,미주,칠레,452
2008,6,미주,코스타리카,204
2008,7,미주,미국,80830
2008,7,미주,캐나다,30979
2008,7,미주,브라질,5171
