대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD2C064KHHX,MHJ-PRD2C064KHHX,상시,상시,정보없음(항공불포함),20900,20900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 강남 마사지 (나트랑시내무료픽업/핫스톤/아로마/드라이/성장 마사지),,0
MHJ-PRD3352F21IB,MHJ-PRD3352F21IB,상시,상시,정보없음(항공불포함),69357,69357,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 나트랑에서 떠나는 무이네 선셋 투어 (지프차/화이트샌듄/레드샌듄/요정의샘물/포사이누/베트남/스타인월드),5.0,1
MHJ-PRD1B14CWYZO,MHJ-PRD1B14CWYZO,상시,상시,정보없음(항공불포함),11988,11988,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[나트랑] 빈펄하버 케이블카 아쿠아필드 찜질방 QR티켓 입장권,,0
MHJ-PRD13A29EYKU,MHJ-PRD13A29EYKU,상시,상시,정보없음(항공불포함),60372,60372,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 판랑 사막투어 지프투어 선라이즈 조인/단독 숙소픽샌,,0
MHJ-PRD384E0K62G,MHJ-PRD384E0K62G,상시,상시,정보없음(항공불포함),89900,89900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[한국인 가이드와 함께 떠나는 나트랑 출발 판랑 사막투어 (입장료+사막 지프 차량포함),,0
MHJ-PRD29953USLW,MHJ-PRD29953USLW,상시,상시,정보없음(항공불포함),83000,83000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[한국인 전용- 품격 상품] 나트랑 일일 호핑 투어 - 스노클링/ 낚시 /중식 포함,,0
MHJ-PRD384E01DGY,MHJ-PRD384E01DGY,상시,상시,정보없음(항공불포함),23900,23900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑] 가족이발관 (귀청소.샴푸마사지.손톱.발톱손질. 나트랑 시내 위치),5.0,1
MHJ-PRD0EE5EZN6K,MHJ-PRD0EE5EZN6K,상시,상시,정보없음(항공불포함),98900,98900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[한국인전용] 나트랑 오션월드 럭셔리 호핑투어 (픽업무료/레이전용비치.라면제공.맥주무제한),,0
MHJ-PRD24CC4WRNN,MHJ-PRD24CC4WRNN,상시,상시,정보없음(항공불포함),89900,89900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,트립,[나트랑 출발 달랏 1박 2일] 로컬 리무진버스 이용+달랏 투어,,0
MHJ-PRD13C1BB186,MHJ-PRD13C1BB186,상시,상시,정보없음(항공불포함),15012,15012,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,나트랑,입장권/패스,[나트랑] 베트남 나트랑 라이프 퍼펫 쇼 QR입장권 인형극 공연,,0
