대표상품코드,판매상품코드,출발일자,요일,항공사,정상가격,성인가격,예약상태,잔여좌석수,가이드경비(USD),쇼핑횟수,호텔명,숙박일수,호텔등급,도시,상품구분,상품명,평점,리뷰수
MHJ-PRD1D7F9HUYC,MHJ-PRD1D7F9HUYC,상시,상시,정보없음(항공불포함),31212,31212,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 빈원더스 남호이안 투어 마사지 워터파크 왕복 픽업샌딩 단독,,0
MHJ-PRD1D7F98YLI,MHJ-PRD1D7F98YLI,상시,상시,정보없음(항공불포함),5940,5940,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 바나힐 투어 단독투어 케이블카 입장권 마사지 왕복 픽업샌딩,,0
MHJ-PRD1D7F96HKD,MHJ-PRD1D7F96HKD,상시,상시,정보없음(항공불포함),5940,5940,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 바나힐 야간투어 단독/조인 케이블카 입장권 마사지 왕복 픽업샌딩,,0
MHJ-PRD1D606E2D8,MHJ-PRD1D606E2D8,상시,상시,정보없음(항공불포함),13608,13608,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 호이안 투어 완벽 정리 3종투어(단독차량/버기카/랜턴보트/메모리즈쇼)*성인요금 기준,,0
MHJ-PRD1B1B0XHTF,MHJ-PRD1B1B0XHTF,상시,상시,정보없음(항공불포함),29723,29723,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[다낭] 오드리 네일&스파_#다낭마사지_#다낭스파,,0
MHJ-PRD1AEF6G5UZ,MHJ-PRD1AEF6G5UZ,상시,상시,정보없음(항공불포함),21816,21816,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,레스토랑,[다낭] 올시즌스 뷔페 이용권 랍스터 해산물 씨푸드 뷔페 레스토랑 식사권,,0
MHJ-PRD1AEF6FYIJ,MHJ-PRD1AEF6FYIJ,상시,상시,정보없음(항공불포함),11761,11761,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 바구니배+호이안 올드타운 단독 차량 투어*성인요금 기준,,0
MHJ-PRD0EEC4DPYD,MHJ-PRD0EEC4DPYD,상시,상시,정보없음(항공불포함),13900,13900,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 땀끼 핫스팟 (벽화마을) + 호이안 올드타운 투어 (10시간.공항드랍 가능.단독),,0
MHJ-PRD0C819TFVA,MHJ-PRD0C819TFVA,상시,상시,정보없음(항공불포함),26892,26892,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,레스토랑,[다낭] 다낭 미케비치 맛집 에스코비치바 밀패키지 불쇼 술집,,0
MHJ-PRD0C432PVNW,MHJ-PRD0C432PVNW,상시,상시,정보없음(항공불포함),48492,48492,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[다낭] 다낭 호이안 랜턴클래스 투어 올드타운 소원배 바구니배 소원초 단독,,0
MHJ-PRD2E711FJ8W,MHJ-PRD2E711FJ8W,상시,상시,정보없음(항공불포함),24752,24752,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,입장권/패스,[베트남 호이안] 일랑일랑 스파_#호이안마사지_#스파_#핫스톤마사지,,0
MHJ-PRD2C065NK58,MHJ-PRD2C065NK58,상시,상시,정보없음(항공불포함),93296,93296,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[단독] 바나힐 체크아웃 투어 #13시간 #QR코드 #왕복케이블카 #공항드랍가능,,0
MHJ-PRD29951NR5V,MHJ-PRD29951NR5V,상시,상시,정보없음(항공불포함),99001,99001,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[단독투어] 바나힐 야간 투어-입장권. 석식. 케이블카 포함 (금/토/일 한정),,0
MHJ-PRD1D85DX5RR,MHJ-PRD1D85DX5RR,상시,상시,정보없음(항공불포함),99000,99000,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,트립,[단독투어] 호이안 야경 투어 - 올드타운+안방비치+소원초+식사포함 (한국어가이드),,0
MHJ-PRD0C3CEVHN2,MHJ-PRD0C3CEVHN2,상시,상시,정보없음(항공불포함),5880,5880,예약가능,999,정보없음,정보없음,정보없음(투어/티켓),정보없음(데이투어),정보없음,다낭,여행서비스,[베트남 전지역] eSIM 무제한 데이터 요금제,,0
